#,Malların (işlərin və xidmətlərin) adı,详细描述,,description_en,Ətraflı təsviri,Malgöndərən/podratçının qeydləri,part_number,name_en,Ad chn,Category,Category Zh,Factory Adress,Factory Adress Zh,Manufacturing Country(En),Manufacturing Country(Zh),Condition,Quality,Car Brand(en),Car Brand(Zh),Car marka(en),Car marka(zh),Part Year
1,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,重型万向节轴横梁，专为精确传动系统对准和减少振动而设计。,,Heavy-duty Cardan Shaft Cross Member engineered for precise drivetrain alignment and vibration reduction.,"Kardan valının çarpazının (krestovinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","897947642051. .Çin, Original",897947642051,Drive shaft cross,传动轴十字轴,Transmission / Drivetrain,变速器/传动系统,,,China,中国,New,Original,Isuzu,五十铃,Nova,新星,"2 020,00"
2,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,完整的离合器套件，包括离合器片和压盘，旨在实现平稳高效的动力传输。,,"Complete Clutch Kit including clutch disc and pressure plate, designed for smooth and efficient power transfer.","Sıxıcı mufta yastığı ilə birlikdə (vıjimnoy) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","187610110051..Çin, Original",187610110051,Clutch release bearing,离合器分离轴承,Clutch System,离合器系统,,,China,中国,New,Original,Isuzu,,Nova,,"2 020,00"
3,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,高性能离合器片，设计用于实现最佳摩擦力和延长使用寿命。,,High-performance Clutch Disc designed for optimal friction and extended lifespan.,"Aparılan disk (feredo) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","587610080151..Çin, Original",587610080151,Clutch disc,离合器摩擦片,Clutch System,离合器系统,,,China,中国,New,Original,Isuzu,,Nova,,"2 020,00"
4,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,精密压力盘设计，可实现离合器的稳定接合和分离。,,Precision Pressure Disc engineered for consistent clutch engagement and disengagement.,"Sıxıcı disk (çaşka) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","587610104051..Çin, Original",587610104051,Clutch pressure plate,离合器压盘,Clutch System,离合器系统,,,China,,New,Original,Isuzu,,Nova,,"2 020,00"
5,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,耐用的后减震器垫，旨在隔离悬架噪音并提高乘坐舒适性。,,Durable Rear Shock Absorber Pad designed to isolate suspension noise and enhance ride comfort.,"Arxa amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə","951631014001. .Çin, Original",951631014001,Rear shock absorber mount,后减震器胶垫,Suspension,暂停,,,China,,New,Original,Isuzu,,Nova,,"2 020,00"
6,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,高品质前挡风玻璃，设计具有卓越的密封性和防风雨性能。,,High-quality Front Windshield designed for superior sealing and protection against the elements.,Ön alın şüşəsinin (podpresin) yenisi ilə əvəz olunması,"1761180451.Çin, Original",1761180451,Front windshield,前挡风玻璃,Body / Glass,主体/玻璃,,,China,,New,Original,Isuzu,,Nova,,"2 020,00"
7,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,可靠的离合器缸，专为精确的离合器操作而设计。,,Reliable Clutch Cylinder designed for precise clutch actuation.,"Muftanın silindrinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","898117643251..Çin, Original",898117643251,Clutch cylinder,离合器液压缸,Clutch System,离合器系统,,,China,,New,Original,Isuzu,,Nova,,"2 020,00"
8,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,优质主制动缸，设计用于实现最佳液压和可靠的制动性能。,,Premium Master Brake Cylinder designed for optimal hydraulic pressure and reliable braking performance.,"Baş əyləc (qlavnıy) silindrin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə","898032602051. .Çin, Original",898032602051,Master cylinder,主缸,Braking System,制动系统,,,China,,New,Original,Isuzu,,Nova,,"2 020,00"
9,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,原厂品质雨刮片，专为在各种天气条件下提供无条纹清晰视野而设计。,,OEM-quality Wiper Blades designed for streak-free visibility in all weather conditions.,"Şüşəsilənin fırçalarının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","387035759101. .Çin, Original",387035759101,Windshield wiper blade,雨刷片,Accessories / Wipers,配件/雨刮器,,,China,,New,Original,Isuzu,,Nova,,"2 020,00"
10,İsuzu -  Nova - Buraxılış ili - 2020 - NNMOATLN02000724,高效挡风玻璃雨刮电机，设计安静可靠。,,High-efficiency Windshield Wiper Motor engineered for quiet and dependable operation.,"Şüşəsilənin motorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə","387053528001. .Çin, Original",387053528001,Windshield wiper motor,雨刷电机,Accessories / Wipers,配件/雨刮器,,,China,,New,Original,Isuzu,,Nova,,"2 020,00"
