id;description_zh;description_en;part_number;name_en;name_zh;category_en;category_zh;manufacturing_country_en;manufacturing_country_zh;condition_zh;condition_en;quality;car_brand_en;car_brand_zh;car_model_en;car_model_zh;part_year;factory_part_zh;factory_part_en;factory_name_zh;factory_name_en;factory_phone_number;factory_site_url
1;重型万向节轴横梁，专为精确传动系统对准和减少振动而设计。;Heavy-duty Cardan Shaft Cross Member engineered for precise drivetrain alignment and vibration reduction.;897947642051;Drive shaft cross;传动轴十字轴;Transmission / Drivetrain;变速器/传动系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;万向节;Universal joint;晋江市航万汽车部件有限公司;Jinjiang Hangwan Automobile Parts Co., Ltd.;15906099888,00;http://www.qgwx.com/
2;完整的离合器套件，包括离合器片和压盘，旨在实现平稳高效的动力传输。;Complete Clutch Kit including clutch disc and pressure plate, designed for smooth and efficient power transfer.;187610110051;Clutch release bearing;离合器分离轴承;Clutch System;离合器系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;变速箱;gearbox;汇隆机械(济南)有限公司;Huilong Machinery (Jinan) Co., Ltd.;15854168782,00;
3;高性能离合器片，设计用于实现最佳摩擦力和延长使用寿命。;High-performance Clutch Disc designed for optimal friction and extended lifespan.;587610080151;Clutch disc;离合器摩擦片;Clutch System;离合器系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;变速箱;gearbox;汇隆机械(济南)有限公司;Huilong Machinery (Jinan) Co., Ltd.;15854168782,00;
4;精密压力盘设计，可实现离合器的稳定接合和分离。;Precision Pressure Disc engineered for consistent clutch engagement and disengagement.;587610104051;Clutch pressure plate;离合器压盘;Clutch System;离合器系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;变速箱;gearbox;汇隆机械(济南)有限公司;Huilong Machinery (Jinan) Co., Ltd.;15854168782,00;
5;耐用的后减震器垫，旨在隔离悬架噪音并提高乘坐舒适性。;Durable Rear Shock Absorber Pad designed to isolate suspension noise and enhance ride comfort.;951631014001;Rear shock absorber mount;后减震器胶垫;Suspension;暂停;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;减震器;shock absorbers;济南凯睿汽车配件有限公司;Jinan Kairui Auto Parts Co., Ltd.;0531-85669090;
6;高品质前挡风玻璃，设计具有卓越的密封性和防风雨性能。;High-quality Front Windshield designed for superior sealing and protection against the elements.;1761180451;Front windshield;前挡风玻璃;Body / Glass;主体/玻璃;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;;;;;;
7;可靠的离合器缸，专为精确的离合器操作而设计。;Reliable Clutch Cylinder designed for precise clutch actuation.;898117643251;Clutch cylinder;离合器液压缸;Clutch System;离合器系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;;;;;;
8;优质主制动缸，设计用于实现最佳液压和可靠的制动性能。;Premium Master Brake Cylinder designed for optimal hydraulic pressure and reliable braking performance.;898032602051;Master cylinder;主缸;Braking System;制动系统;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;;;;;;
9;原厂品质雨刮片，专为在各种天气条件下提供无条纹清晰视野而设计。;OEM-quality Wiper Blades designed for streak-free visibility in all weather conditions.;387035759101;Windshield wiper blade;雨刷片;Accessories / Wipers;配件/雨刮器;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;;;;;;
10;高效挡风玻璃雨刮电机，设计安静可靠。;High-efficiency Windshield Wiper Motor engineered for quiet and dependable operation.;387053528001;Windshield wiper motor;雨刷电机;Accessories / Wipers;配件/雨刮器;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;;;;;;
11;耐用型发电机皮带，专为高效向车辆配件传输动力而设计。;Durable Dynamo Belt designed for efficient power transmission to vehicle accessories.;8980031870;Alternator belt;发电机皮带;Engine / Belts;发动机/皮带;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;皮带;belt;河北省巨鹿县东风内燃机配件厂;Hebei Province Julu County Dongfeng Internal Combustion Engine Parts Factory;0319-4333791;
12;OEM品质的发电机电枢，设计用于实现最佳电输出和使用寿命。;OEM-quality Dynamo Armature designed for optimal electrical output and longevity.;8973027010;Alternator winding;发电机绕组;Engine / Alternator;发动机/交流发电机;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;发电机;dynamo;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
13;可靠的发电机继电器，专为精确电压调节而设计。;Reliable Dynamo Relay engineered for precise voltage regulation.;377776552101;Alternator relay;发电机继电器;Engine / Alternator;发动机/交流发电机;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;发电机;dynamo;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
14;高性能发电机，设计用于可靠发电。;High-performance Dynamo designed for reliable power generation.;377776393001;Alternator;发电机;Engine / Alternator;发动机/交流发电机;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;发电机;dynamo;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
15;专为高效启动发动机而设计的重型启动锚。;Heavy-duty Starter Anchor designed for efficient engine cranking.;8971922990;Starter coil;起动机绕组;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
16;优质启动碳粉，专为实现最佳导电性而设计。;Premium Starter Carbon designed for optimal electrical conductivity.;894167430051;Starter brush;起动机碳刷;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;İsuzu;伊苏祖;Nova;新星;2 020,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
